13:13:20 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
13:24:42 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
15:52:40 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
15:54:56 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
17:11:01 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
17:46:11 [SocketManager] Protocol header error (Index: 9001, Header: 8b)
17:51:16 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
17:56:14 [SocketManager] Protocol header error (Index: 9001, Header: 8b)
17:59:39 [SocketManager] Protocol header error (Index: 9000, Header: 8b)
