17:45:10 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
17:58:24 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
18:04:42 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
18:05:37 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
18:11:18 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
18:58:24 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
19:00:47 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
19:49:14 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
19:49:37 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
20:51:17 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
21:26:44 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.87.208, GameServerCode: 0)
